x, y, z, pop, file, url
2303,3071,13,140,tiles/13/2303/3071.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3071.png
2303,3072,13,96,tiles/13/2303/3072.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3072.png
2303,3073,13,96,tiles/13/2303/3073.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3073.png
2303,3074,13,96,tiles/13/2303/3074.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3074.png
2303,3075,13,96,tiles/13/2303/3075.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3075.png
2303,3076,13,138,tiles/13/2303/3076.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3076.png
2303,3077,13,141,tiles/13/2303/3077.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3077.png
2303,3078,13,141,tiles/13/2303/3078.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3078.png
2303,3079,13,210,tiles/13/2303/3079.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3079.png
2303,3080,13,355,tiles/13/2303/3080.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3080.png
2303,3081,13,2628,tiles/13/2303/3081.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3081.png
2303,3082,13,1563,tiles/13/2303/3082.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3082.png
2303,3083,13,396,tiles/13/2303/3083.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3083.png
2303,3084,13,570,tiles/13/2303/3084.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3084.png
2303,3085,13,644,tiles/13/2303/3085.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3085.png
2303,3086,13,644,tiles/13/2303/3086.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3086.png
2303,3087,13,636,tiles/13/2303/3087.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3087.png
2303,3088,13,699,tiles/13/2303/3088.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3088.png
2303,3089,13,1010,tiles/13/2303/3089.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3089.png
2303,3090,13,1023,tiles/13/2303/3090.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3090.png
2303,3091,13,757,tiles/13/2303/3091.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3091.png
2303,3092,13,688,tiles/13/2303/3092.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3092.png
2303,3093,13,688,tiles/13/2303/3093.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3093.png
2303,3094,13,376,tiles/13/2303/3094.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3094.png
2303,3095,13,352,tiles/13/2303/3095.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3095.png
2303,3096,13,330,tiles/13/2303/3096.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3096.png
2303,3097,13,294,tiles/13/2303/3097.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3097.png
2303,3098,13,293,tiles/13/2303/3098.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3098.png
2303,3099,13,259,tiles/13/2303/3099.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3099.png
2303,3100,13,147,tiles/13/2303/3100.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3100.png
2303,3101,13,126,tiles/13/2303/3101.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3101.png
2303,3102,13,124,tiles/13/2303/3102.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3102.png
2303,3103,13,123,tiles/13/2303/3103.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3103.png
2303,3104,13,123,tiles/13/2303/3104.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3104.png
2303,3105,13,123,tiles/13/2303/3105.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3105.png
2303,3106,13,124,tiles/13/2303/3106.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3106.png
2303,3107,13,147,tiles/13/2303/3107.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3107.png
2303,3108,13,183,tiles/13/2303/3108.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3108.png
2303,3109,13,645,tiles/13/2303/3109.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3109.png
2303,3110,13,1402,tiles/13/2303/3110.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3110.png
2303,3111,13,7836,tiles/13/2303/3111.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3111.png
2303,3112,13,5841,tiles/13/2303/3112.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3112.png
2303,3113,13,534,tiles/13/2303/3113.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3113.png
2303,3114,13,494,tiles/13/2303/3114.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3114.png
2303,3115,13,499,tiles/13/2303/3115.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3115.png
2303,3116,13,499,tiles/13/2303/3116.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3116.png
2303,3117,13,458,tiles/13/2303/3117.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3117.png
2303,3118,13,287,tiles/13/2303/3118.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3118.png
2303,3119,13,258,tiles/13/2303/3119.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3119.png
2303,3120,13,245,tiles/13/2303/3120.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3120.png
2303,3121,13,171,tiles/13/2303/3121.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3121.png
2303,3122,13,164,tiles/13/2303/3122.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3122.png
2303,3123,13,164,tiles/13/2303/3123.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3123.png
2303,3124,13,164,tiles/13/2303/3124.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3124.png
2303,3125,13,163,tiles/13/2303/3125.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3125.png
2303,3126,13,119,tiles/13/2303/3126.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3126.png
2303,3127,13,114,tiles/13/2303/3127.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3127.png
2303,3128,13,114,tiles/13/2303/3128.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3128.png
2303,3129,13,143,tiles/13/2303/3129.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3129.png
2303,3130,13,162,tiles/13/2303/3130.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3130.png
2303,3131,13,159,tiles/13/2303/3131.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3131.png
2303,3132,13,153,tiles/13/2303/3132.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3132.png
2303,3133,13,165,tiles/13/2303/3133.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3133.png
2303,3134,13,182,tiles/13/2303/3134.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3134.png
2303,3135,13,183,tiles/13/2303/3135.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3135.png
2303,3136,13,183,tiles/13/2303/3136.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3136.png
2303,3137,13,184,tiles/13/2303/3137.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3137.png
2303,3138,13,333,tiles/13/2303/3138.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3138.png
2303,3139,13,527,tiles/13/2303/3139.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3139.png
2303,3140,13,542,tiles/13/2303/3140.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3140.png
2303,3141,13,994,tiles/13/2303/3141.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3141.png
2303,3142,13,1489,tiles/13/2303/3142.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3142.png
2303,3143,13,728,tiles/13/2303/3143.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3143.png
2303,3144,13,319,tiles/13/2303/3144.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3144.png
2303,3145,13,483,tiles/13/2303/3145.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3145.png
2303,3146,13,490,tiles/13/2303/3146.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3146.png
2303,3147,13,642,tiles/13/2303/3147.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3147.png
2303,3148,13,669,tiles/13/2303/3148.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3148.png
2303,3149,13,845,tiles/13/2303/3149.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3149.png
2303,3150,13,995,tiles/13/2303/3150.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3150.png
2303,3151,13,472,tiles/13/2303/3151.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3151.png
2303,3152,13,467,tiles/13/2303/3152.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3152.png
2303,3153,13,546,tiles/13/2303/3153.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3153.png
2303,3154,13,529,tiles/13/2303/3154.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3154.png
2303,3155,13,421,tiles/13/2303/3155.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3155.png
2303,3156,13,325,tiles/13/2303/3156.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3156.png
2303,3157,13,351,tiles/13/2303/3157.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3157.png
2303,3158,13,255,tiles/13/2303/3158.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3158.png
2303,3159,13,255,tiles/13/2303/3159.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3159.png
2303,3160,13,256,tiles/13/2303/3160.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3160.png
2303,3161,13,277,tiles/13/2303/3161.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3161.png
2303,3162,13,302,tiles/13/2303/3162.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3162.png
2303,3163,13,317,tiles/13/2303/3163.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3163.png
2303,3164,13,222,tiles/13/2303/3164.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3164.png
2303,3165,13,174,tiles/13/2303/3165.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3165.png
2303,3166,13,174,tiles/13/2303/3166.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3166.png
2303,3167,13,174,tiles/13/2303/3167.png,http://1.basemaps.cartocdn.com/light_nolabels/13/2303/3167.png
